Order_ID,Order_Date,Delivery_Date,Product_Category,Product_Name,Quantity,Unit_Cost,Unit_Price,Discount_Pct,Revenue,Total_Cost,Profit,Profit_Margin_Pct,Lead_Time_Days,Delivery_Status,Supplier_Name,Supplier_Region,Warehouse_Location,Customer_Segment,Sales_Channel,Inventory_Level,Reorder_Point,Safety_Stock
ORD-00001,2023-01-31,2023-02-16,Antennas,Omni 5G Antenna,1,80.0,190.0,10,171.0,80.0,91.0,53.22,16,On Time,Samsung Networks,Asia,"Dallas, TX",Individual,Direct Sales,287,26,30
ORD-00002,2023-10-12,2023-11-03,Antennas,Parabolic Dish 0.6m,2,150.0,320.0,0,640.0,300.0,340.0,53.12,22,On Time,Ericsson AB,Europe,"Los Angeles, CA",Individual,Retail Partner,194,23,21
ORD-00003,2024-07-19,2024-08-19,Batteries & Power,Small Cell UPS,10,450.0,820.0,0,8200.0,4500.0,3700.0,45.12,31,Damaged,Juniper Networks,North America,"Dallas, TX",Individual,Direct Sales,295,26,12
ORD-00004,2024-10-12,2024-11-15,Smartphones,iPhone 16,25,550.0,999.0,0,24975.0,13750.0,11225.0,44.94,34,On Time,Samsung Networks,Asia,"Denver, CO",Government,Distributor,343,28,30
ORD-00005,2024-10-17,2024-12-03,Smartphones,Xiaomi 14 Pro,10,380.0,649.0,0,6490.0,3800.0,2690.0,41.45,47,Delayed,Huawei Tech,Asia,"Seattle, WA",Individual,Retail Partner,117,46,11
ORD-00006,2024-10-20,2024-11-20,Batteries & Power,Small Cell UPS,2,450.0,820.0,25,1230.0,900.0,330.0,26.83,31,On Time,CommScope Inc,North America,"Chicago, IL",Individual,Distributor,71,27,27
ORD-00007,2024-06-05,2024-07-08,Routers & Gateways,Industrial IoT Gateway,25,180.0,390.0,0,9750.0,4500.0,5250.0,53.85,33,On Time,Juniper Networks,North America,"Miami, FL",SME,Online Portal,24,47,13
ORD-00008,2023-09-15,2023-10-31,Network Equipment,Base Station BTS,25,8500.0,15000.0,0,375000.0,212500.0,162500.0,43.33,46,Delayed,Foxconn Telecom,Asia,"Denver, CO",Individual,Value-Added Reseller,349,48,27
ORD-00009,2024-05-27,2024-06-30,Batteries & Power,Small Cell UPS,25,450.0,820.0,15,17425.0,11250.0,6175.0,35.44,34,Damaged,Nokia Solutions,Europe,"Seattle, WA",Enterprise,Retail Partner,430,40,26
ORD-00010,2023-01-20,2023-03-04,Routers & Gateways,WiFi 7 Mesh Router,1,60.0,150.0,0,150.0,60.0,90.0,60.0,43,Damaged,Corning Optical,North America,"Atlanta, GA",Government,Distributor,157,27,11
ORD-00011,2024-07-16,2024-08-04,Network Equipment,Edge Router CR-5,200,2100.0,3800.0,20,608000.0,420000.0,188000.0,30.92,19,On Time,Honor Devices,Asia,"Los Angeles, CA",SME,Distributor,433,128,148
ORD-00012,2023-09-11,2023-09-26,Batteries & Power,Tower Power Cabinet,10,1800.0,3200.0,0,32000.0,18000.0,14000.0,43.75,15,On Time,CommScope Inc,North America,"Seattle, WA",Individual,Direct Sales,301,37,17
ORD-00013,2023-03-14,2023-05-06,Routers & Gateways,WiFi 7 Mesh Router,1,60.0,150.0,0,150.0,60.0,90.0,60.0,53,Delayed,Huawei Tech,Asia,"Dallas, TX",Enterprise,Retail Partner,276,24,28
ORD-00014,2023-12-29,2024-02-11,Routers & Gateways,SD-WAN Appliance,1,400.0,850.0,0,850.0,400.0,450.0,52.94,44,Damaged,Nokia Solutions,Europe,"Dallas, TX",Enterprise,Distributor,344,40,30
ORD-00015,2024-03-08,2024-03-28,Smartphones,Galaxy S24,2,450.0,799.0,5,1518.1,900.0,618.1,40.72,20,On Time,Huawei Tech,Asia,"Chicago, IL",Individual,Online Portal,447,49,12
ORD-00016,2024-02-21,2024-04-06,Fiber Cables,ADSS Cable 1km,1,70.0,150.0,0,150.0,70.0,80.0,53.33,45,On Time,Cisco Systems,North America,"Dallas, TX",SME,Online Portal,205,48,11
ORD-00017,2023-07-14,,Network Equipment,Fiber Optic Terminal,1,600.0,1100.0,0,1100.0,600.0,500.0,45.45,22,Cancelled,Siemens Networks,Europe,"Denver, CO",Individual,Online Portal,296,43,27
ORD-00018,2023-03-24,2023-04-08,Smartphones,Pixel 9 Pro,1,500.0,899.0,0,899.0,500.0,399.0,44.38,15,On Time,Corning Optical,North America,"Los Angeles, CA",Enterprise,Value-Added Reseller,345,47,17
ORD-00019,2024-11-04,2025-01-02,Fiber Cables,Single-Mode OS2 1km,200,55.0,120.0,0,24000.0,11000.0,13000.0,54.17,59,On Time,Corning Optical,North America,"Atlanta, GA",Enterprise,Distributor,267,124,181
ORD-00020,2023-01-10,2023-02-21,Antennas,Massive MIMO Array,1,2500.0,4800.0,0,4800.0,2500.0,2300.0,47.92,42,On Time,CommScope Inc,North America,"Seattle, WA",Government,Direct Sales,109,36,18
ORD-00021,2024-12-21,,Network Equipment,Microwave Link,50,3200.0,5800.0,0,290000.0,160000.0,130000.0,44.83,26,Cancelled,Siemens Networks,Europe,"Los Angeles, CA",Individual,Value-Added Reseller,413,87,10
ORD-00022,2023-06-09,2023-07-20,Antennas,Parabolic Dish 0.6m,2,150.0,320.0,0,640.0,300.0,340.0,53.12,41,On Time,ZTE Corp,Asia,"Dallas, TX",Enterprise,Value-Added Reseller,351,40,18
ORD-00023,2023-01-04,2023-02-21,Routers & Gateways,SD-WAN Appliance,2,400.0,850.0,0,1700.0,800.0,900.0,52.94,48,Delayed,Samsung Networks,Asia,"Denver, CO",Government,Direct Sales,361,33,27
ORD-00024,2024-07-19,2024-08-11,Smartphones,Galaxy S24,1,450.0,799.0,0,799.0,450.0,349.0,43.68,23,On Time,Honor Devices,Asia,"Atlanta, GA",Government,Value-Added Reseller,186,48,11
ORD-00025,2023-06-16,2023-07-03,SIM Cards,IoT M2M SIM,10,0.8,3.0,0,30.0,8.0,22.0,73.33,17,On Time,Cobham Wireless,Europe,"Denver, CO",SME,Online Portal,377,49,20
ORD-00026,2023-02-09,2023-04-08,Batteries & Power,Solar Panel 500W,25,400.0,720.0,0,18000.0,10000.0,8000.0,44.44,58,Delayed,ZTE Corp,Asia,"Los Angeles, CA",Enterprise,Distributor,179,29,17
ORD-00027,2024-02-14,2024-04-16,Network Equipment,5G Small Cell,10,1200.0,2200.0,0,22000.0,12000.0,10000.0,45.45,62,Damaged,Ericsson AB,Europe,"Newark, NJ",Government,Value-Added Reseller,449,28,15
ORD-00028,2024-08-13,2024-09-04,Routers & Gateways,Industrial IoT Gateway,1,180.0,390.0,0,390.0,180.0,210.0,53.85,22,Delayed,Siemens Networks,Europe,"Denver, CO",Enterprise,Distributor,266,49,27
ORD-00029,2023-11-13,2024-01-11,Antennas,Directional Panel Antenna,2,120.0,280.0,15,476.0,240.0,236.0,49.58,59,On Time,CommScope Inc,North America,"Dallas, TX",Government,Value-Added Reseller,151,37,14
ORD-00030,2025-05-03,2025-05-05,Network Equipment,Fiber Optic Terminal,10,600.0,1100.0,0,11000.0,6000.0,5000.0,45.45,2,On Time,Qualcomm Supply,North America,"Newark, NJ",Individual,Value-Added Reseller,107,33,28
ORD-00031,2023-10-18,2023-12-08,Routers & Gateways,Industrial IoT Gateway,5,180.0,390.0,0,1950.0,900.0,1050.0,53.85,51,Delayed,Honor Devices,Asia,"Seattle, WA",SME,Direct Sales,344,29,17
ORD-00032,2023-07-19,2023-08-14,Batteries & Power,Tower Power Cabinet,1,1800.0,3200.0,20,2560.0,1800.0,760.0,29.69,26,On Time,Cisco Systems,North America,"Seattle, WA",Individual,Value-Added Reseller,124,24,30
ORD-00033,2024-04-20,2024-05-22,Antennas,Omni 5G Antenna,100,80.0,190.0,0,19000.0,8000.0,11000.0,57.89,32,Damaged,Foxconn Telecom,Asia,"Chicago, IL",SME,Value-Added Reseller,233,54,69
ORD-00034,2025-01-31,2025-03-30,Antennas,Parabolic Dish 0.6m,500,150.0,320.0,0,160000.0,75000.0,85000.0,53.12,58,Delayed,Cobham Wireless,Europe,"Denver, CO",Individual,Online Portal,1067,516,330
ORD-00035,2023-03-24,2023-04-11,Network Equipment,Microwave Link,2,3200.0,5800.0,0,11600.0,6400.0,5200.0,44.83,18,On Time,ZTE Corp,Asia,"Miami, FL",Government,Value-Added Reseller,78,42,16
ORD-00036,2025-02-27,2025-05-07,Smartphones,OnePlus 13,2,420.0,749.0,0,1498.0,840.0,658.0,43.93,69,Damaged,Ericsson AB,Europe,"Chicago, IL",Individual,Distributor,294,32,25
ORD-00037,2023-10-07,2023-11-09,Smartphones,Pixel 9 Pro,2,500.0,899.0,0,1798.0,1000.0,798.0,44.38,33,On Time,Cobham Wireless,Europe,"Chicago, IL",Individual,Online Portal,172,41,22
ORD-00038,2024-07-31,2024-09-18,Antennas,Directional Panel Antenna,50,120.0,280.0,0,14000.0,6000.0,8000.0,57.14,49,On Time,Corning Optical,North America,"Atlanta, GA",Individual,Value-Added Reseller,219,37,39
ORD-00039,2023-09-16,2023-10-03,Network Equipment,5G Small Cell,2,1200.0,2200.0,20,3520.0,2400.0,1120.0,31.82,17,Delayed,Siemens Networks,Europe,"Denver, CO",Government,Distributor,487,31,17
ORD-00040,2023-06-06,2023-07-17,Antennas,Omni 5G Antenna,25,80.0,190.0,0,4750.0,2000.0,2750.0,57.89,41,On Time,Huawei Tech,Asia,"Chicago, IL",Enterprise,Value-Added Reseller,485,26,24
ORD-00041,2024-08-15,2024-09-15,Antennas,Massive MIMO Array,25,2500.0,4800.0,25,90000.0,62500.0,27500.0,30.56,31,Damaged,Cisco Systems,North America,"Los Angeles, CA",Government,Direct Sales,203,50,16
